image_name,source_format,source_width,source_height,source_bytes,resize_px,jpeg_quality,run_no,ok,status,encode_ms,latency_ms,payload_bytes,jpeg_width,jpeg_height,prompt_tokens,completion_tokens,total_tokens,error_detail
03.webp,webp,1416,2000,635168,512,60,1,true,200,39.47,366.4,54931,362,512,217,12,229,
03.webp,webp,1416,2000,635168,512,70,1,true,200,45.38,279.48,63603,362,512,217,12,229,
03.webp,webp,1416,2000,635168,512,80,1,true,200,37.59,272.57,76315,362,512,217,12,229,
03.webp,webp,1416,2000,635168,768,40,1,true,200,43.25,428.03,87851,544,768,449,12,461,
03.webp,webp,1416,2000,635168,768,50,1,true,200,43.71,377.21,100735,544,768,449,12,461,
03.webp,webp,1416,2000,635168,768,60,1,true,200,42.4,410.82,114583,544,768,449,12,461,
03.webp,webp,1416,2000,635168,768,70,1,true,200,42.95,374.97,134655,544,768,449,12,461,
03.webp,webp,1416,2000,635168,768,80,1,true,200,44.34,378.7,165119,544,768,449,12,461,
03.webp,webp,1416,2000,635168,1024,40,1,true,200,47.39,498.25,150295,725,1024,777,12,789,
03.webp,webp,1416,2000,635168,1024,50,1,true,200,51.4,555.19,171679,725,1024,777,12,789,
03.webp,webp,1416,2000,635168,1024,60,1,true,200,50.16,529.44,193603,725,1024,777,12,789,
03.webp,webp,1416,2000,635168,1024,70,1,true,200,53.82,581.86,225815,725,1024,777,12,789,
03.webp,webp,1416,2000,635168,1024,80,1,true,200,49.87,531.12,273947,725,1024,777,12,789,
04.webp,webp,1416,2000,103574,256,40,1,true,200,11.56,302.34,6931,181,256,89,16,105,
04.webp,webp,1416,2000,103574,256,50,1,true,200,10.47,240.76,7899,181,256,89,16,105,
04.webp,webp,1416,2000,103574,256,60,1,true,200,15.99,247.53,8839,181,256,89,16,105,
04.webp,webp,1416,2000,103574,256,70,1,true,200,11.43,236.4,10267,181,256,89,16,105,
04.webp,webp,1416,2000,103574,256,80,1,true,200,10.86,239.64,12479,181,256,89,16,105,
04.webp,webp,1416,2000,103574,384,40,1,true,200,14.53,266.6,12615,272,384,149,16,165,
04.webp,webp,1416,2000,103574,384,50,1,true,200,11.9,234.99,14307,272,384,149,12,161,
04.webp,webp,1416,2000,103574,384,60,1,true,200,12.37,269.15,16071,272,384,149,16,165,
04.webp,webp,1416,2000,103574,384,70,1,true,200,12.9,237.75,18783,272,384,149,12,161,
04.webp,webp,1416,2000,103574,384,80,1,true,200,13.88,266.13,22895,272,384,149,16,165,
04.webp,webp,1416,2000,103574,512,40,1,true,200,16.74,309.07,19375,362,512,217,16,233,
04.webp,webp,1416,2000,103574,512,50,1,true,200,15.24,267,22079,362,512,217,12,229,
